,YEAR,TITLE,Title_Count,Total_Count,Percent_Total
1044,2020,Police Officer,488,1355,36.01476015
988,2020,Fire Fighter,334,790,42.27848101
1022,2020,Police Detective,220,309,71.197411
992,2020,Fire Lieutenant,151,158,95.56962025
1048,2020,Police Sergeant,126,137,91.97080292
819,2019,Police Officer,506,1346,37.59286776
760,2019,Fire Fighter,326,820,39.75609756
796,2019,Police Detective,222,309,71.84466019
764,2019,Fire Lieutenant,145,150,96.66666667
823,2019,Police Sergeant,130,185,70.27027027
604,2018,Police Officer,477,1102,43.28493648
582,2018,Police Detective,202,286,70.62937063
608,2018,Police Sergeant,129,148,87.16216216
609,2018,Police Sergeant (Det),106,121,87.60330579
549,2018,Fire Fighter,68,792,8.585858586
424,2017,Police Officer,447,1331,33.5837716
401,2017,Police Detective,213,298,71.47651007
429,2017,Police Sergeant (Det),109,119,91.59663866
428,2017,Police Sergeant,100,130,76.92307692
372,2017,Fire Fighter,58,795,7.295597484
267,2016,Police Officer,363,1279,28.38154808
245,2016,Police Detective,269,330,81.51515152
271,2016,Police Sergeant (Det),109,113,96.46017699
270,2016,Police Sergeant,106,132,80.3030303
213,2016,Fire Captain,47,48,97.91666667
117,2015,Police Officer,341,1273,26.78711705
122,2015,Police Sergeant (Det),108,118,91.52542373
121,2015,Police Sergeant,99,129,76.74418605
95,2015,Police Detective,74,286,25.87412587
59,2015,Fire Captain,43,45,95.55555556